iter,eps_total,sigma_trial,f,eps_p_i,eps_p,eps_e,sigma_true
1,0,0,-250,0,0,0,0
2,0.0002,40,-210,0,0,0.0002,40
3,0.0004,80,-170,0,0,0.0004,80
4,0.0006,120,-130,0,0,0.0006,120
5,0.0008,160,-90,0,0,0.0008,160
6,0.001,200,-50,0,0,0.001,200
7,0.0012,240,-10,0,0,0.0012,240
8,0.0014,280,30,0.00015,0.00015,0.00125,250
9,0.0016,290,40,0.0002,0.00035,0.00125,250
10,0.0018,290,40,0.0002,0.00055,0.00125,250
11,0.002,290,40,0.0002,0.00075,0.00125,250
12,0.0018,210,-40,0,0.00075,0.00105,210
13,0.0016,170,-80,0,0.00075,0.00085,170
14,0.0014,130,-120,0,0.00075,0.00065,130
15,0.0012,90,-160,0,0.00075,0.00045,90
16,0.001,50,-200,0,0.00075,0.00025,50
17,0.0008,10,-240,0,0.00075,5E-05,10
18,0.0006,30,-220,0,0.00075,-0.00015,-30
19,0.0004,70,-180,0,0.00075,-0.00035,-70
20,0.0002,110,-140,0,0.00075,-0.00055,-110
21,0,150,-100,0,0.00075,-0.00075,-150
22,0.0003,90,-160,0,0.00075,-0.00045,-90
23,0.0006,30,-220,0,0.00075,-0.00015,-30
24,0.0009,30,-220,0,0.00075,0.00015,30
25,0.0012,90,-160,0,0.00075,0.00045,90
26,0.0015,150,-100,0,0.00075,0.00075,150
27,0.0018,210,-40,0,0.00075,0.00105,210
28,0.0021,270,20,1E-04,0.00085,0.00125,250
29,0.0024,310,60,0.0003,0.00115,0.00125,250
30,0.0027,310,60,0.0003,0.00145,0.00125,250
31,0.003,310,60,0.0003,0.00175,0.00125,250
